1630416572.279959,7727.0,721.0
1630416572.9000847,724.0,726.0,722.0
1630416573.1009192,729.0,728.0,718.0
1630416573.299702,722.0,727.0,721.0
1630416573.5000272,727.0,726.0,723.0
1630416573.699001,727.0,725.0,723.0
1630416573.9045074,729.0,726.0,719.0
1630416574.1086109,729.0,726.0,725.0
1630416574.3113806,731.0,728.0,723.0
1630416574.5129886,0.0,727.0,723.0
1630416574.7151647,730.0,727.0,721.0
1630416574.917641,724.0,726.0,722.0
1630416575.1213691,729.0,728.0,718.0
1630416575.3208578,722.0,727.0,721.0
1630416575.5215933,727.0,726.0,723.0
1630416575.7306392,727.0,725.0,723.0
1630416575.9350026,729.0,726.0,719.0
1630416576.1357327,729.0,726.0,725.0
1630416576.337184,731.0,728.0,723.0
1630416576.537824,727.0,145.0,723.0
1630416576.7388573,728.0,291.0,723.0
1630416576.9425468,728.0,436.0,720.0
1630416577.1448963,731.0,582.0,722.0
1630416577.347178,731.0,729.0,721.0
1630416577.5904005,729.0,729.0,720.0
1630416577.9017026,724.0,728.0,722.0
1630416578.2169874,723.0,727.0,722.0
1630416578.528189,728.0,727.0,720.0
1630416578.839566,729.0,726.0,720.0
1630416579.150832,723.0,725.0,720.0
1630416579.4619808,729.0,726.0,722.0
1630416579.773177,729.0,727.0,723.0
1630416580.0844445,725.0,727.0,722.0
1630416580.3959897,721.0,725.0,722.0
1630416580.7073083,728.0,726.0,726.0
1630416581.0185738,727.0,726.0,720.0
1630416581.329666,726.0,725.0,722.0
1630416581.6408458,729.0,726.0,720.0
1630416581.956303,726.0,727.0,720.0
1630416582.2674618,729.0,727.0,722.0
1630416582.578865,724.0,726.0,721.0
1630416582.8902535,726.0,726.0,721.0
1630416583.2015295,730.0,727.0,722.0
1630416583.5127754,725.0,726.0,720.0
1630416583.824202,725.0,726.0,723.0
1630416584.1353602,729.0,727.0,727.0
1630416584.4466698,728.0,727.0,721.0
1630416584.7579618,731.0,727.0,720.0
1630416585.0691984,734.0,729.0,720.0
1630416585.3805122,731.0,730.0,722.0
1630416585.6957874,731.0,731.0,722.0
1630416586.0070946,725.0,730.0,723.0
1630416586.3183794,724.0,729.0,721.0
1630416586.629648,729.0,728.0,718.0
1630416586.9408553,723.0,726.0,721.0
1630416587.2521334,728.0,725.0,723.0
1630416587.563309,724.0,725.0,723.0
1630416587.8747916,726.0,726.0,722.0
1630416588.1860533,727.0,725.0,722.0
1630416588.4973793,726.0,726.0,723.0
1630416588.8084257,724.0,725.0,723.0
1630416589.1236796,730.0,726.0,721.0
1630416589.4352324,727.0,726.0,721.0
1630416589.7462225,729.0,727.0,721.0
1630416590.057714,727.0,727.0,723.0
1630416590.3691003,729.0,728.0,722.0
1630416590.680369,725.0,727.0,722.0
1630416590.9915042,727.0,727.0,723.0
1630416591.3028855,726.0,726.0,721.0
1630416591.6141994,734.0,728.0,723.0
1630416591.9254804,720.0,726.0,722.0
1630416592.2365801,726.0,726.0,720.0
1630416592.5481484,730.0,727.0,720.0
1630416592.8631446,727.0,727.0,721.0
1630416593.1746187,729.0,726.0,722.0
1630416593.485849,724.0,727.0,727.0
1630416593.797254,730.0,728.0,718.0
1630416594.1085346,731.0,728.0,722.0
1630416594.4196877,726.0,728.0,721.0
1630416594.730844,727.0,727.0,723.0
1630416595.0421948,727.0,728.0,722.0
1630416595.3535388,727.0,727.0,722.0
1630416595.6649637,728.0,727.0,720.0
1630416595.9760625,730.0,727.0,722.0
1630416596.2913532,725.0,727.0,723.0
1630416596.602653,728.0,727.0,720.0
1630416596.9140518,727.0,727.0,721.0
1630416597.225384,721.0,726.0,721.0
1630416597.5365686,726.0,725.0,722.0
1630416597.8478787,726.0,725.0,721.0
1630416598.1591766,722.0,724.0,721.0
1630416598.4701688,720.0,723.0,719.0
1630416598.7817054,727.0,724.0,721.0
1630416599.0931287,721.0,723.0,722.0
1630416599.4043155,729.0,723.0,723.0
1630416599.7155623,729.0,725.0,725.0
1630416600.0307434,728.0,726.0,718.0
1630416600.3420484,728.0,727.0,722.0
