1630425654.137581,684.0,708.0
1630425654.7781792,684.0,683.0,709.0
1630425655.0071135,680.0,683.0,708.0
1630425655.2138393,680.0,682.0,708.0
1630425655.4316826,6.0,685.0,708.0
1630425655.6502187,687.0,686.0,708.0
1630425655.8724728,685.0,686.0,710.0
1630425656.093062,683.0,684.0,709.0
1630425656.3042922,685.0,685.0,706.0
1630425656.509688,685.0,685.0,709.0
1630425656.713021,682.0,684.0,708.0
1630425656.9182773,684.0,683.0,709.0
1630425657.1255953,680.0,683.0,708.0
1630425657.3332422,680.0,682.0,708.0
1630425657.9166143,684.0,136.0,712.0
1630425658.2278037,685.0,273.0,708.0
1630425658.5390751,687.0,411.0,707.0
1630425658.850348,684.0,548.0,708.0
1630425659.1655316,690.0,686.0,706.0
1630425659.4769368,684.0,686.0,708.0
1630425659.7882333,685.0,686.0,709.0
1630425660.0994735,690.0,686.0,709.0
1630425660.4107842,689.0,687.0,706.0
1630425660.7221196,684.0,686.0,709.0
1630425661.0332415,689.0,687.0,707.0
1630425661.344678,690.0,688.0,708.0
1630425661.6559176,687.0,687.0,709.0
1630425661.9671748,687.0,687.0,709.0
1630425662.2785034,686.0,687.0,713.0
1630425662.589532,686.0,687.0,707.0
1630425662.9049945,685.0,686.0,714.0
1630425663.2161317,682.0,685.0,709.0
1630425663.5273397,683.0,684.0,714.0
1630425663.8388157,684.0,684.0,709.0
1630425664.1501274,686.0,684.0,708.0
1630425664.4615936,686.0,684.0,709.0
1630425664.7727888,686.0,685.0,708.0
1630425665.0839486,685.0,685.0,709.0
1630425665.406059,687.0,686.0,708.0
1630425665.7065513,689.0,686.0,708.0
1630425666.0179222,686.0,686.0,708.0
1630425666.3332236,681.0,685.0,710.0
1630425666.644365,686.0,685.0,710.0
1630425666.962759,687.0,685.0,714.0
1630425667.2670722,686.0,685.0,708.0
1630425667.5781753,686.0,685.0,706.0
1630425667.889662,686.0,686.0,709.0
1630425668.2006671,683.0,685.0,708.0
1630425668.512104,693.0,686.0,710.0
1630425668.8234725,686.0,686.0,709.0
1630425669.1348245,688.0,687.0,709.0
1630425669.446059,684.0,686.0,708.0
1630425669.7574644,684.0,687.0,710.0
1630425670.072585,685.0,685.0,710.0
1630425670.3838873,685.0,685.0,710.0
1630425670.6952205,682.0,684.0,709.0
1630425671.0065196,684.0,684.0,708.0
1630425671.3177378,682.0,683.0,710.0
1630425671.6291106,688.0,684.0,710.0
1630425671.9400284,684.0,684.0,706.0
1630425672.2516093,685.0,684.0,709.0
1630425672.5629642,683.0,684.0,708.0
1630425672.8740096,682.0,684.0,710.0
1630425673.185527,685.0,683.0,712.0
1630425673.5007615,686.0,684.0,708.0
1630425673.8118646,687.0,684.0,710.0
1630425674.1232307,682.0,684.0,709.0
1630425674.4343135,684.0,684.0,708.0
1630425674.7458372,685.0,684.0,709.0
1630425675.0572357,681.0,683.0,709.0
1630425675.368504,687.0,683.0,713.0
1630425675.679706,688.0,685.0,709.0
1630425675.9910328,685.0,685.0,708.0
1630425676.3023102,685.0,685.0,710.0
1630425676.6135244,682.0,685.0,708.0
1630425676.9286203,686.0,685.0,706.0
1630425677.2401114,687.0,685.0,710.0
1630425677.551404,682.0,684.0,714.0
1630425677.8627768,684.0,684.0,708.0
1630425678.1739676,688.0,685.0,709.0
1630425678.485233,684.0,685.0,711.0
1630425678.7966173,684.0,684.0,709.0
1630425679.1078675,685.0,685.0,708.0
1630425679.4191446,689.0,686.0,706.0
1630425679.7304695,684.0,685.0,708.0
1630425680.041725,686.0,685.0,708.0
1630425680.353039,691.0,687.0,710.0
1630425680.6681676,687.0,687.0,710.0
1630425680.9795282,687.0,687.0,710.0
1630425681.2908075,684.0,687.0,708.0
1630425681.602188,689.0,687.0,708.0
1630425681.9134707,687.0,686.0,712.0
1630425682.2248232,691.0,687.0,710.0
1630425682.5359483,689.0,688.0,709.0
1630425682.847264,686.0,688.0,708.0
1630425683.158534,685.0,687.0,706.0
1630425683.4698646,684.0,687.0,710.0
1630425683.7811983,687.0,686.0,710.0
1630425684.0964503,690.0,686.0,710.0
1630425684.407698,683.0,685.0,710.0
1630425684.719005,682.0,685.0,709.0
1630425685.0301876,686.0,685.0,710.0
1630425685.341555,684.0,685.0,709.0
1630425685.6528354,685.0,684.0,708.0
1630425685.9640722,686.0,684.0,708.0
1630425686.2754064,689.0,686.0,710.0
1630425686.5866845,686.0,686.0,709.0
1630425686.8980227,687.0,686.0,709.0
1630425687.2093492,685.0,686.0,710.0
1630425687.5205035,680.0,685.0,707.0
1630425687.8358014,684.0,684.0,714.0
1630425688.1469662,684.0,684.0,709.0
1630425688.4582586,683.0,683.0,708.0
1630425688.7697241,684.0,683.0,709.0
1630425689.0808673,683.0,683.0,706.0
1630425689.3922744,685.0,683.0,709.0
1630425689.703635,684.0,683.0,709.0
1630425690.0147696,682.0,683.0,708.0
1630425690.3260987,679.0,682.0,710.0
1630425690.6374476,682.0,682.0,708.0
1630425690.9486747,687.0,682.0,706.0
1630425691.2639098,684.0,682.0,709.0
1630425691.5751674,686.0,683.0,710.0
1630425691.886498,684.0,684.0,709.0
1630425692.1977158,682.0,684.0,706.0
1630425692.5091171,681.0,683.0,709.0
1630425692.8204165,687.0,684.0,710.0
1630425693.1316652,688.0,684.0,709.0
1630425693.4429977,688.0,685.0,710.0
1630425693.7542484,682.0,685.0,706.0
1630425694.0655227,685.0,686.0,709.0
1630425694.3767843,682.0,685.0,709.0
1630425694.6880977,685.0,684.0,710.0
1630425695.0032248,686.0,684.0,708.0
1630425695.3146446,683.0,684.0,709.0
1630425695.6259325,691.0,685.0,708.0
1630425695.937141,684.0,685.0,709.0
1630425696.248362,685.0,685.0,714.0
1630425696.559768,687.0,686.0,710.0
1630425696.871124,686.0,686.0,708.0
1630425697.1824005,689.0,686.0,710.0
1630425697.4936068,683.0,686.0,708.0
1630425697.8050206,685.0,686.0,715.0
1630425698.1161792,684.0,685.0,710.0
1630425698.4313111,686.0,685.0,708.0
1630425698.7426944,687.0,685.0,709.0
1630425699.0539982,690.0,686.0,710.0
1630425699.3654087,687.0,686.0,708.0
1630425699.6766236,687.0,687.0,714.0
1630425699.9879522,687.0,687.0,708.0
1630425700.2991898,690.0,688.0,708.0
1630425700.6104424,688.0,687.0,709.0
1630425700.921773,682.0,686.0,710.0
1630425701.2331429,688.0,687.0,710.0
1630425701.544281,683.0,686.0,706.0
1630425701.855652,685.0,685.0,709.0
1630425702.1708539,687.0,685.0,708.0
1630425702.4820936,686.0,685.0,713.0
1630425702.7933295,688.0,685.0,710.0
1630425703.1047747,688.0,686.0,709.0
1630425703.4159951,684.0,686.0,709.0
1630425703.7271755,693.0,687.0,710.0
1630425704.0384452,683.0,687.0,708.0
1630425704.349871,681.0,685.0,715.0
1630425704.6610224,689.0,686.0,709.0
1630425704.9724083,686.0,686.0,708.0
1630425705.2834098,684.0,684.0,709.0
1630425705.5989835,683.0,684.0,710.0
1630425705.910265,693.0,687.0,710.0
1630425706.2213776,683.0,685.0,713.0
1630425706.5328438,682.0,685.0,709.0
1630425706.844152,685.0,685.0,708.0
1630425707.15519,688.0,686.0,710.0
1630425707.466735,686.0,684.0,710.0
1630425707.778046,686.0,685.0,709.0
1630425708.089418,688.0,686.0,709.0
1630425708.40065,687.0,687.0,708.0
1630425708.7118642,687.0,686.0,710.0
1630425709.0230906,686.0,686.0,708.0
1630425709.338427,689.0,687.0,709.0
1630425709.6496348,685.0,686.0,709.0
1630425709.9609678,687.0,686.0,706.0
1630425710.2721677,687.0,686.0,710.0
1630425710.58358,688.0,687.0,709.0
1630425710.8948176,687.0,686.0,707.0
1630425711.2059906,687.0,687.0,709.0
1630425711.5173883,682.0,686.0,709.0
1630425711.8286896,687.0,686.0,706.0
1630425712.1400287,688.0,686.0,710.0
1630425712.451342,686.0,686.0,709.0
1630425712.766539,689.0,686.0,708.0
1630425713.0777636,685.0,687.0,710.0
1630425713.3890939,687.0,687.0,709.0
1630425713.700366,688.0,687.0,710.0
1630425714.0116675,688.0,687.0,709.0
1630425714.3230064,691.0,687.0,710.0
1630425714.6342297,683.0,687.0,712.0
1630425714.9454305,689.0,687.0,709.0
1630425715.2564852,688.0,687.0,710.0
1630425715.568057,689.0,688.0,709.0
1630425715.87943,689.0,687.0,710.0
1630425716.1907623,685.0,688.0,711.0
1630425716.506006,685.0,687.0,709.0
1630425716.817209,685.0,686.0,711.0
1630425717.1284266,687.0,686.0,708.0
1630425717.4398062,689.0,686.0,710.0
1630425717.7511306,683.0,685.0,709.0
1630425718.062317,686.0,686.0,709.0
1630425718.3737357,685.0,686.0,710.0
1630425718.6849804,684.0,685.0,710.0
1630425718.9962833,687.0,685.0,708.0
1630425719.3075597,688.0,686.0,710.0
1630425719.6188517,689.0,686.0,709.0
1630425719.9340973,683.0,686.0,709.0
1630425720.2453544,682.0,685.0,710.0
1630425720.5566144,681.0,684.0,710.0
1630425720.8679514,688.0,684.0,709.0
1630425721.179236,691.0,685.0,708.0
1630425721.4904807,690.0,686.0,708.0
1630425721.8017428,688.0,687.0,709.0
1630425722.1129925,688.0,689.0,714.0
1630425722.424393,685.0,688.0,708.0
1630425722.7356896,683.0,686.0,709.0
1630425723.0470774,689.0,686.0,711.0
1630425723.3582811,688.0,686.0,710.0
1630425723.6735191,687.0,686.0,710.0
1630425723.98484,684.0,686.0,708.0
1630425724.2960212,685.0,686.0,712.0
1630425724.6072657,685.0,685.0,710.0
1630425724.918663,689.0,686.0,710.0
1630425725.2299743,690.0,686.0,709.0
1630425725.5412633,688.0,687.0,708.0
1630425725.852507,685.0,687.0,708.0
1630425726.1638095,683.0,687.0,713.0
1630425726.474959,681.0,685.0,710.0
1630425726.7863753,686.0,684.0,709.0
1630425727.1016607,681.0,683.0,711.0
1630425727.4128983,684.0,683.0,709.0
1630425727.7241983,685.0,683.0,710.0
1630425728.0355678,687.0,684.0,710.0
1630425728.3468168,687.0,684.0,710.0
1630425728.6578286,687.0,686.0,707.0
1630425728.9694545,685.0,686.0,709.0
1630425729.2805061,686.0,686.0,709.0
1630425729.5919678,684.0,685.0,710.0
1630425729.9032052,694.0,687.0,710.0
1630425730.214494,691.0,688.0,708.0
1630425730.5257952,687.0,688.0,707.0
1630425730.8410273,687.0,688.0,714.0
1630425731.1523194,683.0,688.0,711.0
1630425731.4635856,685.0,686.0,710.0
1630425731.7747648,691.0,686.0,708.0
1630425732.0861633,690.0,687.0,709.0
1630425732.3975282,684.0,686.0,709.0
1630425732.7087383,688.0,687.0,710.0
1630425733.0201192,690.0,688.0,710.0
1630425733.3313456,684.0,687.0,707.0
1630425733.6426268,687.0,686.0,709.0
1630425733.9538858,694.0,688.0,710.0
1630425734.2691095,691.0,689.0,708.0
1630425734.5803576,691.0,689.0,708.0
1630425734.891708,684.0,689.0,711.0
1630425735.2030773,685.0,689.0,714.0
1630425735.5142837,681.0,686.0,710.0
1630425735.825601,685.0,685.0,711.0
1630425736.136921,687.0,684.0,711.0
1630425736.4481652,685.0,684.0,709.0
1630425736.7594302,685.0,684.0,709.0
1630425737.0707967,687.0,685.0,710.0
1630425737.3820333,687.0,686.0,710.0
1630425737.693366,689.0,686.0,710.0
1630425738.0085757,686.0,686.0,708.0
1630425738.3199177,685.0,686.0,709.0
1630425738.6309826,691.0,687.0,714.0
1630425738.9424827,689.0,688.0,713.0
1630425739.2533593,689.0,688.0,714.0
1630425739.5650187,686.0,688.0,713.0
1630425739.8762908,684.0,687.0,710.0
1630425740.1873715,689.0,687.0,714.0
1630425740.498912,689.0,687.0,709.0
1630425740.8101196,689.0,687.0,710.0
1630425741.121447,687.0,687.0,713.0
1630425741.4366555,686.0,688.0,712.0
1630425741.747936,687.0,687.0,707.0
1630425742.0592535,689.0,687.0,708.0
1630425742.3705997,687.0,687.0,708.0
1630425742.681758,686.0,687.0,710.0
1630425742.993153,682.0,686.0,709.0
1630425743.3044453,684.0,685.0,709.0
1630425743.615703,690.0,685.0,709.0
1630425743.9270172,687.0,685.0,710.0
1630425744.2381938,688.0,686.0,708.0
1630425744.5496027,688.0,687.0,709.0
1630425744.860856,684.0,687.0,709.0
1630425745.176084,689.0,687.0,709.0
1630425745.487354,687.0,687.0,708.0
1630425745.7986245,686.0,686.0,712.0
1630425746.109937,685.0,686.0,710.0
1630425746.4212904,689.0,687.0,710.0
1630425746.7323017,691.0,687.0,710.0
1630425747.043838,691.0,688.0,710.0
1630425747.3551552,684.0,688.0,706.0
1630425747.6664271,689.0,688.0,709.0
1630425747.9775364,688.0,688.0,714.0
1630425748.2889812,689.0,688.0,711.0
1630425748.6041834,689.0,687.0,710.0
1630425748.9155064,687.0,688.0,708.0
1630425749.226645,685.0,687.0,709.0
1630425749.5381079,691.0,688.0,708.0
1630425749.8494601,688.0,688.0,710.0
1630425750.160642,686.0,687.0,711.0
1630425750.4719715,688.0,687.0,709.0
1630425750.7832217,689.0,688.0,710.0
1630425751.0945032,691.0,688.0,710.0
1630425751.4056094,682.0,687.0,710.0
1630425751.7171915,686.0,687.0,709.0
1630425752.032159,684.0,686.0,709.0
1630425752.3436413,690.0,686.0,709.0
1630425752.6548078,685.0,685.0,709.0
1630425752.966229,685.0,686.0,710.0
1630425753.2775304,687.0,686.0,715.0
1630425753.5887964,686.0,686.0,713.0
1630425753.9001262,691.0,686.0,710.0
1630425754.2113004,685.0,686.0,708.0
1630425754.5224657,689.0,687.0,710.0
1630425754.834006,688.0,687.0,713.0
1630425755.1450255,687.0,688.0,713.0
1630425755.4565346,687.0,687.0,707.0
1630425755.771799,682.0,686.0,709.0
1630425756.0830474,686.0,686.0,709.0
1630425756.3940368,687.0,685.0,709.0
1630425756.705514,686.0,685.0,709.0
1630425757.016913,689.0,686.0,709.0
1630425757.3281343,687.0,687.0,709.0
1630425757.6395233,685.0,686.0,710.0
1630425757.9507174,687.0,686.0,710.0
1630425758.262068,687.0,687.0,714.0
1630425758.5734162,687.0,686.0,709.0
1630425758.8846436,686.0,686.0,709.0
