1631876012.448,5.0
1631876012.45,905.0,905.0
1631876012.452,906.0,905.0
1631876012.454,906.0,905.0
1631876012.456,906.0,905.0
1631876012.458,905.0,905.0
1631876012.46,905.0,905.0
1631876012.754,905.0,905.0
1631876013.053,907.0,905.0
1631876013.356,905.0,905.0
1631876013.655,905.0,905.0
1631876013.954,907.0,905.0
1631876014.257,906.0,905.0
1631876014.556,906.0,905.0
1631876014.855,906.0,905.0
1631876015.158,905.0,905.0
1631876015.457,906.0,905.0
1631876015.756,905.0,905.0
1631876016.056,905.0,905.0
1631876016.358,905.0,905.0
1631876016.658,905.0,905.0
1631876016.957,905.0,905.0
1631876017.259,905.0,905.0
1631876017.559,905.0,905.0
1631876017.858,906.0,905.0
1631876018.161,905.0,905.0
1631876018.46,906.0,905.0
1631876018.759,905.0,905.0
1631876019.062,906.0,905.0
1631876019.361,905.0,905.0
1631876019.66,905.0,905.0
1631876019.959,905.0,905.0
1631876020.262,906.0,905.0
1631876020.561,905.0,905.0
1631876020.86,906.0,905.0
1631876021.163,904.0,905.0
1631876021.462,907.0,905.0
1631876021.761,905.0,905.0
1631876022.064,905.0,905.0
1631876022.363,905.0,905.0
1631876022.662,905.0,905.0
1631876022.965,904.0,905.0
1631876023.264,905.0,905.0
1631876023.563,905.0,905.0
1631876023.862,905.0,905.0
1631876024.165,906.0,905.0
1631876024.464,906.0,905.0
1631876024.763,904.0,905.0
1631876025.066,905.0,905.0
1631876025.365,904.0,905.0
1631876025.664,906.0,904.0
1631876025.967,905.0,905.0
1631876026.266,906.0,905.0
1631876026.565,905.0,905.0
1631876026.868,905.0,905.0
1631876027.167,905.0,905.0
1631876027.466,905.0,905.0
1631876027.766,906.0,905.0
1631876028.068,905.0,905.0
1631876028.367,905.0,905.0
1631876028.666,905.0,905.0
1631876028.969,904.0,905.0
1631876029.268,905.0,905.0
1631876029.568,904.0,905.0
1631876029.87,904.0,904.0
1631876030.17,905.0,904.0
1631876030.469,905.0,904.0
1631876030.772,906.0,904.0
1631876031.071,904.0,904.0
1631876031.37,905.0,904.0
1631876031.669,904.0,904.0
1631876031.972,905.0,904.0
1631876032.271,904.0,904.0
1631876032.57,906.0,904.0
1631876032.873,906.0,904.0
1631876033.172,904.0,905.0
1631876033.471,907.0,904.0
1631876033.774,906.0,905.0
1631876034.073,905.0,905.0
1631876034.372,905.0,905.0
1631876034.675,905.0,905.0
1631876034.974,907.0,905.0
1631876035.273,905.0,905.0
1631876035.572,906.0,905.0
1631876035.875,905.0,905.0
1631876036.174,906.0,905.0
1631876036.473,905.0,905.0
1631876036.776,905.0,905.0
1631876037.075,906.0,905.0
1631876037.374,906.0,905.0
1631876037.677,906.0,905.0
1631876037.976,906.0,905.0
1631876038.275,906.0,905.0
1631876038.578,905.0,905.0
1631876038.877,906.0,905.0
1631876039.176,905.0,905.0
1631876039.475,906.0,905.0
1631876039.778,906.0,905.0
1631876040.077,906.0,905.0
1631876040.376,905.0,905.0
1631876040.679,905.0,905.0
1631876040.978,904.0,905.0
1631876041.277,909.0,905.0
1631876041.58,907.0,905.0
1631876041.879,907.0,905.0
1631876042.179,906.0,906.0
1631876042.482,906.0,906.0
1631876042.781,905.0,906.0
