1631172601.909,1.0
1631172601.911,42.0,50.0
1631172601.912,14.0,18.0
1631172601.913,31.0,55.0
1631172601.914,55.0
1631172601.915,29.0,10.0
1631172601.916,11.0,6.0
1631172601.917,27.0,22.0
1631172601.918,45.0,39.0
1631172601.918,4.0,12.0
1631172601.919,35.0,40.0
1631172601.919,8.0,39.0
1631172601.92,48.0,41.0
1631172601.92,36.0,3.0
1631172601.921,11.0,17.0
1631172601.921,40.0,32.0
1631172601.922,28.0,6.0
1631172601.923,6.0,8.0
1631172601.924,0.0,6.0
1631172601.925,46.0,40.0
1631172601.925,38.0,21.0
1631172601.926,42.0,50.0
1631172601.927,14.0,18.0
1631172601.928,31.0,55.0
1631172601.928,55.0
1631172601.929,29.0,10.0
1631172601.93,11.0,6.0
1631172601.93,27.0,22.0
1631172601.931,45.0,39.0
1631172601.932,4.0,12.0
1631172601.933,35.0,40.0
1631172601.933,8.0,39.0
1631172601.934,48.0,41.0
1631172601.934,36.0,3.0
1631172601.935,11.0,17.0
1631172601.936,40.0,32.0
1631172601.936,28.0,6.0
1631172601.937,6.0,8.0
1631172601.938,0.0,6.0
1631172601.938,46.0,40.0
1631172601.939,38.0,21.0
1631172601.94,42.0,50.0
1631172601.941,14.0,18.0
1631172601.942,31.0,55.0
1631172602.518,7.0,49.0
1631172602.678,8.0,10.0
1631172602.952,44.0,38.0
1631172602.973,9.0,0.0
1631172603.039,42.0,2.0
1631172603.124,3.0,7.0
1631172603.358,40.0,52.0
1631172603.362,19.0,9.0
1631172603.616,10.0,33.0
1631172603.718,28.0,56.0
1631172603.952,47.0,26.0
1631172604.165,17.0,50.0
1631172604.198,29.0,49.0
1631172604.476,21.0,7.0
1631172604.751,43.0,36.0
1631172604.935,45.0,8.0
1631172605.029,44.0,37.0
1631172605.128,3.0,28.0
1631172605.373,18.0,50.0
1631172605.398,46.0,30.0
1631172605.5,22.0,46.0
1631172605.75,24.0,41.0
1631172606.004,27.0,48.0
1631172606.233,33.0,58.0
1631172606.414,35.0,13.0
1631172606.578,14.0,23.0
1631172606.615,25.0,29.0
1631172606.631,44.0,9.0
1631172606.639,17.0,35.0
1631172606.737,4.0,51.0
1631172606.938,38.0,23.0
1631172606.942,32.0,12.0
1631172607.209,16.0,57.0
1631172607.246,44.0,21.0
1631172607.544,21.0,8.0
1631172607.679,8.0,37.0
1631172607.979,44.0,24.0
1631172608.187,31.0,5.0
1631172608.265,35.0,38.0
1631172608.404,49.0,8.0
1631172608.618,10.0,37.0
1631172608.912,8.0,55.0
1631172609.08,13.0,10.0
1631172609.187,12.0,22.0
1631172609.453,32.0,52.0
1631172609.523,21.0,15.0
1631172609.634,21.0,41.0
1631172609.924,31.0,38.0
1631172609.982,16.0,50.0
1631172610.121,29.0,35.0
1631172610.227,22.0,58.0
1631172610.424,19.0,54.0
1631172610.449,39.0,20.0
1631172610.653,26.0,3.0
1631172610.858,13.0,50.0
1631172610.997,44.0,0.0
1631172611.043,16.0,34.0
1631172611.067,44.0,43.0
1631172611.206,44.0,10.0
1631172611.256,9.0,43.0
1631172611.403,35.0,37.0
1631172611.677,39.0,47.0
1631172611.964,46.0,25.0
1631172612.185,20.0,44.0
1631172612.255,35.0,15.0
1631172612.48,34.0,22.0
1631172612.493,29.0,12.0
1631172612.636,45.0,38.0
1631172612.931,42.0,15.0
1631172613.025,33.0,29.0
1631172613.119,3.0,7.0
1631172613.246,10.0,2.0
1631172613.357,8.0,37.0
1631172613.418,25.0,55.0
1631172613.488,45.0,36.0
1631172613.754,39.0,34.0
1631172613.984,6.0,1.0
1631172614.16,10.0,14.0
1631172614.34,5.0,9.0
1631172614.352,15.0,13.0
1631172614.619,30.0,55.0
1631172614.873,6.0,3.0
1631172615.077,26.0,28.0
1631172615.327,31.0,24.0
1631172615.364,8.0,17.0
1631172615.417,49.0,3.0
1631172615.548,31.0,34.0
1631172615.667,25.0,29.0
1631172615.847,29.0,43.0
1631172616.003,10.0,57.0
1631172616.048,17.0,45.0
1631172616.249,6.0,44.0
1631172616.548,48.0,24.0
1631172616.597,0.0,16.0
1631172616.806,4.0,57.0
1631172616.913,31.0,28.0
1631172617.08,28.0,59.0
1631172617.089,29.0,33.0
1631172617.371,47.0,27.0
1631172617.543,22.0,45.0
1631172617.818,3.0,4.0
1631172617.953,16.0,0.0
1631172618.096,20.0,45.0
1631172618.113,48.0,15.0
1631172618.146,7.0,56.0
1631172618.424,16.0,17.0
1631172618.637,28.0,54.0
1631172618.854,37.0,53.0
1631172619.047,20.0,22.0
1631172619.182,47.0,51.0
1631172619.37,39.0,33.0
1631172619.546,4.0,18.0
1631172619.55,4.0,20.0
1631172619.661,47.0,20.0
1631172619.792,5.0,6.0
1631172619.8,38.0,0.0
1631172620.026,35.0,57.0
1631172620.14,14.0,53.0
1631172620.399,4.0,58.0
1631172620.456,35.0,9.0
1631172620.575,13.0,42.0
1631172620.792,43.0,19.0
1631172621.058,47.0,29.0
1631172621.25,3.0,33.0
1631172621.259,48.0,25.0
1631172621.414,9.0,6.0
1631172621.644,24.0,12.0
1631172621.918,3.0,57.0
1631172622.139,0.0,51.0
1631172622.418,3.0,20.0
1631172622.639,33.0,38.0
1631172622.844,26.0,10.0
1631172622.877,30.0,19.0
1631172622.91,24.0,49.0
1631172623.053,49.0,11.0
1631172623.262,29.0,43.0
1631172623.335,40.0,43.0
1631172623.385,21.0,9.0
1631172623.602,46.0,59.0
1631172623.635,21.0,56.0
1631172623.659,44.0,38.0
1631172623.753,21.0,24.0
1631172624.015,48.0,51.0
1631172624.155,3.0,51.0
1631172624.355,5.0,0.0
1631172624.474,24.0,29.0
1631172624.687,20.0,5.0
1631172624.9,33.0,28.0
1631172624.917,8.0,30.0
1631172624.941,45.0,37.0
1631172625.154,40.0,6.0
1631172625.265,43.0,33.0
1631172625.33,10.0,2.0
1631172625.531,2.0,47.0
1631172625.675,10.0,20.0
1631172625.973,27.0,11.0
1631172626.06,14.0,5.0
1631172626.101,17.0,8.0
1631172626.346,15.0,34.0
1631172626.592,23.0,20.0
1631172626.801,39.0,34.0
1631172627.006,29.0,13.0
1631172627.096,16.0,56.0
1631172627.104,10.0,18.0
1631172627.395,20.0,36.0
1631172627.673,17.0,12.0
1631172627.813,48.0,21.0
1631172627.923,16.0,11.0
1631172628.198,28.0,51.0
1631172628.358,45.0,0.0
1631172628.398,8.0,33.0
1631172628.624,0.0,31.0
1631172628.89,44.0,13.0
1631172629.017,27.0,35.0
1631172629.148,42.0,56.0
1631172629.353,15.0,24.0
1631172629.455,47.0,1.0
1631172629.558,24.0,48.0
1631172629.697,31.0,35.0
1631172629.705,16.0,5.0
1631172629.98,31.0,0.0
1631172630.271,19.0,5.0
1631172630.299,36.0,8.0
1631172630.422,34.0,47.0
1631172630.672,26.0,46.0
1631172630.951,16.0,27.0
1631172630.971,34.0,51.0
1631172631.18,8.0,51.0
1631172631.225,18.0,58.0
1631172631.258,25.0,47.0
